Mino,    美濃市,  Gifu,    22912,  117.05,  196,     1954-04-01
Mizunami,    瑞浪市,  Gifu,    41556,  175.00,  237,     1954-04-01
Hashima,     羽島市,  Gifu,    67167,  53.64,   1252,   1954-04-01
Minokamo,    美濃加茂市,  Gifu,    53988,  74.81,   722,     1954-04-01
Toki,    土岐市,  Gifu,    61393,  116.01,  529,     1955-02-01
Kakamigahara,    各務原市,    Gifu,    145126,     87.77,   1653,   1963-04-01
Kani,    可児市,  Gifu,    99318,  87.60,   1134,   1982-04-01
Yamagata,    山県市,  Gifu,    29857,  222.04,  134,     2003-04-01
Mizuho,  瑞穂市,  Gifu,    51230,  28.18,   1818,   2003-05-01
Hida,    飛騨市,  Gifu,    28112,  792.31,  35.5,    2004-02-01
Motosu,  本巣市,  Gifu,    34729,  374.57,  92.7,    2004-02-01
Gujō,    郡上市,  Gifu,    46338,  1030.79,    45.0,    2004-03-01
Gero,    下呂市,  Gifu,    37455,  851.06,  44.0,    2004-03-01
Ena,     恵那市,  Gifu,    54844,  504.19,  109,     2004-10-25
Kaizu,   海津市,  Gifu,    38532,  112.31,  343,     2005-03-28
Maebashi,    前橋市,  Gunma,   318058,     241.22,  1319,   1892-04-01
Takasaki,    高崎市,  Gunma,   341838,     401.01,  852,     1900-04-01
Kiryū,   桐生市,  Gunma,   124892,     274.57,  455,     1921-03-01
Isesaki,     伊勢崎市,    Gunma,   204240,     139.33,  1466,   1940-09-13
Ōta,     太田市,  Gunma,   214049,     176.49,  1213,   1948-05-03
Numata,  沼田市,  Gunma,   52319,  443.37,  118,     1954-04-01
Tatebayashi,     館林市,  Gunma,   79023,  60.98,   1296,   1954-04-01
Fujioka,     藤岡市,  Gunma,   68710,  180.09,  382,     1954-04-01
Shibukawa,   渋川市,  Gunma,   86134,  240.42,  358,     2006-02-20
Annaka,  安中市,  Gunma,   62270,  276.34,  225,     2006-03-18
Tomioka,     富岡市,  Gunma,   53332,  122.90,  434,     2006-03-27
Midori,  みどり,市,    Gunma,   51964  208.23,,  250     2006-03-27
Hiroshima,   広島市,  Hiroshima,   1163806,   905.13,  1286,   1889-04-01
Onomichi,    尾道市,  Hiroshima,   148085,     284.85,  520,     1898-04-01
Kure,    呉市,    Hiroshima,   246118,     353.74,  696,     1902-10-01
Fukuyama,    福山市,  Hiroshima,   461368,     518.07,  891,     1916-07-01
Mihara,  三原市,  Hiroshima,   103209,     471.03,  219,     1936-11-15
Fuchū,   府中市,  Hiroshima,   44212,  195.71,  226,     1954-03-31
Miyoshi,     三次市,  Hiroshima,   58264,  778.19,  74.9,    1954-03-31
Shōbara,     庄原市,  Hiroshima,   41747,  1246.60,    33.5,    1954-03-31
Ōtake,   大竹市,  Hiroshima,   29665,  78.55,   378,     1954-09-01
Takehara,    竹原市,  Hiroshima,   29803,  118.30,  252,     1958-11-03
Higashihiroshima,    東広島市,    Hiroshima,   187711,     635.32,  295,     1974-04-20
Hatsukaichi,     廿日市市,    Hiroshima,   115184,     489.36,  235,     1988-04-01
Akitakata,   安芸高田市,  Hiroshima,   32323,  537.79,  60.1,    2004-03-01
Etajima,     江田島市,    Hiroshima,   28601,  100.97,  283,     2004-11-01
Sapporo,     札幌市,  Hokkaidō,    1918096,   1710.00,    1699,   1922-08-01
Hakodate,    函館市,  Hokkaidō,    277056,     677.89,  409,     1922-08-01
Otaru,   小樽市,  Hokkaidō,    130255,     243.30,  535,     1922-08-01
Asahikawa,   旭川市,  Hokkaidō,    350511,     747.60,  469,     1922-08-01
Muroran,     室蘭市,  Hokkaidō,    93078,  80.65,   1154,   1922-08-01
Obihiro,     帯広市,  Hokkaidō,    168188,     618.94,  272,     1933-04-01
Yūbari,  夕張市,  Hokkaidō,    10471,  763.20,  13.7,    1943-04-01
Iwamizawa,   岩見沢市,    Hokkaidō,    89023,  481.10,  185,     1943-04-01
Abashiri,    網走市,  Hokkaidō,    38548,  471.00,  81.8,    1947-02-11
Rumoi,   留萌市,  Hokkaidō,    24036,  297.44,  80.8,    1947-10-01
Tomakomai,   苫小牧市,    Hokkaidō,    173761,     561.49,  309,     1948-04-01
